path,line,encoding,original_comment,english_comment
kbe/src/server/baseapp/archiver.cpp,34,gb18030,// 算法如下:,
kbe/src/server/baseapp/archiver.cpp,35,gb18030,// baseEntity的数量 * idx / tick周期 = 每次在vector中移动的一个区段,
kbe/src/server/baseapp/archiver.cpp,36,gb18030,"// 这个区段在每个gametick进行处理, 刚好平滑的在periodInTicks中处理完任务",
kbe/src/server/baseapp/archiver.cpp,37,gb18030,// 如果archiveIndex_ >= periodInTicks则重新产生一次随机序列,
kbe/src/server/baseapp/archiver.cpp,83,gb18030,// 随机一下序列,
kbe/src/server/baseapp/backuper.cpp,31,gb18030,// 这里对备份的entity做一下分批操作,
kbe/src/server/baseapp/backuper.cpp,32,gb18030,// 大概算法是配置上填写的备份周期换算成tick数量， 每个tick备份一部分entity,
kbe/src/server/baseapp/backuper.cpp,35,gb18030,// 本次备份的数量,
kbe/src/server/baseapp/backuper.cpp,38,gb18030,// 计算出精度导致的损失数量,
kbe/src/server/baseapp/backuper.cpp,41,gb18030,// 如果备份表中没有内容了则重新产生一份新的,
kbe/src/server/baseapp/backuper.cpp,68,gb18030,// 这里开始将需要备份的数据写入流,
kbe/src/server/baseapp/backuper.cpp,92,gb18030,// 随机一下序列,
kbe/src/server/baseapp/backuper.h,31,gb18030,// 在此列表中的entity将进行备份操作,
kbe/src/server/baseapp/baseapp.cpp,45,gb18030,"// 创建一个用于生成实体的字典，包含了实体所有的持久化属性和数据
",
kbe/src/server/baseapp/baseapp.cpp,59,gb18030,"// 先将celldata中的存储属性取出
",
kbe/src/server/baseapp/baseapp.cpp,73,gb18030,"// 如果某个实体没有cell部分， 而组件属性没有base部分则忽略
",
kbe/src/server/baseapp/baseapp.cpp,82,gb18030,"// 和dbmgr判断保持一致，如果没有持久化属性dbmgr将不会传输数据过来
",
kbe/src/server/baseapp/baseapp.cpp,251,gb18030,"// 不需要主动释放
",
kbe/src/server/baseapp/baseapp.cpp,277,gb18030,"// 所有脚本都加载完毕
",
kbe/src/server/baseapp/baseapp.cpp,325,gb18030,"// 通知脚本
",
kbe/src/server/baseapp/baseapp.cpp,340,gb18030,"// 通知脚本
",
kbe/src/server/baseapp/baseapp.cpp,387,gb18030,"// 通知脚本
",
kbe/src/server/baseapp/baseapp.cpp,418,gb18030,"// 将app标记注册到脚本
",
kbe/src/server/baseapp/baseapp.cpp,429,gb18030,"// 注册创建entity的方法到py
",
kbe/src/server/baseapp/baseapp.cpp,459,gb18030,"// 添加globalData, globalBases支持
",
kbe/src/server/baseapp/baseapp.cpp,562,gb18030,"// 一定要在最前面
",
kbe/src/server/baseapp/baseapp.cpp,613,gb18030,"// 添加一个timer， 每秒检查一些状态
",
kbe/src/server/baseapp/baseapp.cpp,631,gb18030,"// 如果需要pyprofile则在此处安装
",
kbe/src/server/baseapp/baseapp.cpp,632,gb18030,"// 结束时卸载并输出结果
",
kbe/src/server/baseapp/baseapp.cpp,801,gb18030,"// 如果是cellapp死亡了
",
kbe/src/server/baseapp/baseapp.cpp,816,gb18030,"// 有关联entity的客户端退出则需要设置entity的client
",
kbe/src/server/baseapp/baseapp.cpp,1309,gb18030,"// 如果createEntityFromDBID类接口返回实体已经检出且在当前进程上，但是当前进程上无法找到实体时应该给出错误
",
kbe/src/server/baseapp/baseapp.cpp,1310,gb18030,"// 这种情况通常是异步的环境中从db查询到已经检出，但等回调时可能实体已经销毁了而造成的
",
